mercyme	58	1098	5795	4.82	('all', 98)	('back_chorus', 18)	('say_say_what', 9)
alanis-morissette	132	3821	20667	4.98	('this', 241)	('la_la', 27)	('la_la_la', 21)
extreme	69	1894	8248	3.48	('all', 119)	('more_money', 22)	('knew_back_then', 17)
pulp	130	3310	23996	6.46	('oh', 528)	('ha_ha', 87)	('ha_ha_ha', 75)
white-zombie	44	1843	5694	4.77	('yeah', 198)	('yeah_yeah', 27)	('run_baby_run', 15)
red-hot-chili-peppers	165	4339	24936	3.79	('all', 256)	("i've_got", 48)	('magik_sex_magik', 32)
sarah-mclachlan	75	1810	8992	4.22	('all', 128)	('noel_noel', 18)	('noel_noel_noel', 12)
radiohead	130	2068	10633	3.81	('all', 149)	('her_out', 24)	('wears_her_out', 24)
bad-religion	212	5224	24893	5.19	('all', 301)	('no_one', 40)	('come_join_us', 24)
iron-maiden	75	2224	10056	4.33	('all', 133)	('only_dream', 22)	('show_them_no', 16)
backstreet-boys	106	1715	16923	4.02	('love', 319)	('ooh_oh', 49)	('oh_ooh_oh', 48)
hanson	78	1693	14074	4.51	('na', 240)	('na_na', 221)	('na_na_na', 202)
creed	42	1139	5640	4.52	('what', 87)	('what_if', 54)	('if_what_if', 39)
the-black-crowes	110	2169	11993	4.34	('all', 138)	('dont_want', 20)	('ninety_nine_pounds', 16)
flotsam-and-jetsam	63	2440	9355	4.51	('no', 98)	('cant_get', 16)	('everything_see_now', 11)
ween	149	2884	16289	5.07	('molly', 174)	('molly_molly', 168)	('molly_molly_molly', 162)
savatage	100	2616	14411	3.61	('he', 204)	('white_witch', 31)	("rock_'n_roll", 18)
accept	101	2121	13282	3.97	('all', 152)	('get_right', 41)	('too_high_get', 35)
overkill	114	2972	15511	3.99	('all', 184)	('2_again', 27)	('out_time_crackbaby', 20)
pretty-maids	100	2626	12346	3.31	('chorus', 186)	('little_darling', 27)	('darling_little_darling', 15)
third-eye-blind	45	1615	7890	4.36	('all', 102)	('let_go', 34)	("i'll_take_anyone", 25)
king-diamond	107	2287	14541	4.71	('solo', 198)	('solo_andy', 85)	('solo_glen_drover', 14)
lenny-kravitz	106	1774	13507	3.94	('yeah', 307)	('yeah_yeah', 144)	('yeah_yeah_yeah', 85)
beck	60	2360	7683	3.9	('got', 81)	('doo_doo', 23)	('doo_doo_doo', 22)
everclear	115	2080	18991	4.72	('want', 338)	('dont_want', 82)	('la_la_la', 63)
mudhoney	91	1544	8680	3.2	('got', 130)	('hey_hey', 84)	('hey_hey_hey', 72)
chemical-brothers	34	628	1788	3.44	('out', 36)	('out_control', 24)	('out_control_out', 13)
sawyer-brown	81	1888	10370	4.91	('chorus', 164)	("i've_been", 21)	('pa_pum_pum', 20)
bruce-springsteen	378	6633	68148	5.64	('just', 619)	('la_la', 120)	('la_la_la', 102)
hole	81	3695	16299	4.58	('oh', 263)	('oh_oh', 126)	('na_na_na', 61)
phish	106	2777	9191	4.21	('she', 85)	("she's_bitchin", 27)	("she's_bitchin_again", 27)
mark-lanegan	46	1061	4258	3.78	('da', 54)	('da_da', 42)	('da_da_da', 30)
robert-plant	90	2090	14556	5.62	('oh', 526)	('oh_oh', 125)	('ah_ah_ah', 79)
aerosmith	186	3723	28573	4.31	('got', 366)	('yeah_yeah', 91)	('yeah_yeah_yeah', 50)
tourniquet	69	2651	8134	4.56	('will', 78)	('acid_head', 10)	('get_what_pray', 7)
sentenced	83	2026	9420	4.37	('all', 146)	('music_tenkula', 32)	('music_tenkula_sentenced', 29)
faith-no-more	74	1884	7036	3.89	("it's", 115)	('care_lot', 16)	('care_lot_about', 15)
mindy-mccready	32	1088	5233	5.25	('love', 74)	('over_over', 44)	('over_over_over', 33)
stone-temple-pilots	64	1427	6672	4.59	('she', 151)	('find_way', 17)	('what_wanted_what', 15)
simple-minds	116	2274	17268	4.2	('all', 201)	('reproduced_without', 115)	('reproduced_without_permission', 115)
kenny-chesney	112	2615	18611	5.22	('she', 239)	('wild_ride', 36)	('key_lime_pie', 19)
the-almighty	66	2016	7569	3.75	('love', 141)	('la_la', 80)	('la_la_la', 48)
primus	78	2526	7863	6.72	('he', 178)	('too_many', 25)	('too_many_puppies', 22)
cracker	55	1644	7687	5.22	('g', 294)	('g_d', 57)	('g_c_g', 16)
leann-rimes	155	2819	21088	4.39	('love', 270)	('not_leaving', 37)	('ich_werde_dich', 23)
the-offspring	71	1837	8974	4.12	('but', 137)	('dont_want', 16)	('dont_turn_away', 9)
crash-test-dummies	40	1527	5165	5.56	('he', 64)	('mmm_mmm', 21)	('mmm_mmm_mmm', 18)
